;Quote;Krant;Periode
11;Dat gebeurt ook wel. De industrie draagt enorm veel bij tot het onderwijs. Het aantal wetenschapsmensen wordt steeds groter. De techniek eist dat.;Algemeen dagblad ;1960-1969
12;lle onderzoekers voelen hetzelfde. Ik heb niet het gevoel dat ik iets speciaals doe. Ik doe iets belangrijks, dat de wereld zal veranderen, maar dat doen zo veel wetenschapsmensen op zo veel terreinen.;Algemeen dagblad ;1960-1969
13;Kunstmatige intelligentie is noch een mythe noch een bedreiging. De ontwikkeling er van houdt een serieuze poging in om methoden te vinden die een machine in staat stellen problemen af te handelen, die terecht aan machines zouden moeten worden overgelaten, maar die nu menselijke intelligentie schijnen te vereisen;Algemeen dagblad ;1960-1969
14;"Aanvankelijk heeft men zwaar overdreven wat computers kunnen doen. Tegenwoordig is er echter een tendens, om computers te onderschatten. De waarheid is dat computers geen „kunstmatige breinen"" zijn, maar beslist ook geen „idioten"" die alleen maar doen wat ze gezegd wordt.";De Telegraaf;1960-1969
15;Computers zullen met ongelofelijke snelheid in ons leven doordringen;De Telegraaf;1960-1969
16;"Veel sneller nog dan men zich thans kan voorstellen. Er zal vrijwel geen produkt en geen taak zijn, waarin, de computer (ook wel aangeduid als '„rekenautomaat"" of inforamtieverwerkende machine) geen rol zal spelen. De drie grote gebieden van de menselijke bedrijvigheid (huiselijk leven, zakenleven en wetenschappelijk leven) zullen in steeds sneller tempo door de informatie-revolutie worden beïnvloed. Het is misschien wel de grootste revolutie van alle tijden.";De Telegraaf;1960-1969
17;"Het blijkt eerst nu welk een ongelofelijk belangrijke uitvinding de transistor is geweest""";De Telegraaf;1960-1969
18;De technische revolutie — en daartoe behoort ook de computerrevolutie — stelt steeds meer mensen in staat in waardigheid te leven, dat wil zeggen een voller, rijker en onbezorgder leven te leiden,, waarin meer elementaire behoeften zijn vervuld dan ooit tevoren. En dit is uiteindelijk de enige taak van de computer: de mensheid 'in waardigheid te laten leven;De Telegraaf;1960-1969
19;Computers zijn geen mensen, aldus waarschuwt hij, en we moeten goed bedenken wat voor taken we aan hem willen overdragen en wat voor taken wij zelf in handen willen blijven houden.;NRC Handelsblad;1970-1979
20;Als je de computer zover kan krijgen dat hij dezelfde fouten maakt als een mens,' dan ben je op de goede weg.;NRC Handelsblad;1970-1979
21;Het woord 'computer'  betekent niet 'onfeilbaar';NRC Handelsblad;1970-1979
22;Het probleem is, aldus Schank, dat de eerste onderzoekers de kwestie van het begrijpen dachten te kunnen vermijden.;NRC Handelsblad;1970-1979
23;het regime van Ian Smith in Rhodesië heel nuttig gebruik van de sociale cybernetica zou kunnen maken om de vrede te bewaren.  Als de Amerikanen dat hadden gedaan zouden er nooit rassenrellen zijn geweest.;De Volkskrant;1970-1979
24;het uiteindelijke doel van de cybernetica het creëren van kunstmatige intelligentie is, die het sociale gebeuren op aarde zal kunnen besturen, mits de aarbewoners zich eerst laten- opvoeden tot sociaal gedrag;De Volkskrant;1970-1979
25;dat sociale onderzoekers een grote huiver hebben om technologen los te laten op sociale problemen. Het nieuwe inzicht is juist dat cybernetica niet zo maar op het maatschappelijk gebeuren kan worden toegepast;De Volkskrant;1970-1979
26;"„We zouden de hele zaal moeten dichtspijkeren om de geheimhouding te bewaren. Maar natuurlijk proberen wij de cybernetica juist te ontwikkelen voor het welzijn van de mensheid""";De Volkskrant;1970-1979
27;Binnen vijf jaar zul je computers overal aantreffen waar mensen aan het werk zijn. Dat is een gevolg van het feit dat de technologie door de enorme concurrentie almaar goedkoper wordt. Een paar jaar geleden zou je er niet aan hebben gedacht bepaalde processen te gaan automatiseren, eenvoudig omdat het te duur was. Nu zijn we in het stadium gekomen dat je er een redelijk slordig gebruik van kunt maken. Plotseling is de computer binnen het bereik gekomen van iedereen: wij zijn het Volkswagen-tijdperk van de micro-technologie binnengegaan.;De Telegraaf;1970-1979
28;"We zijn nu zover dat de computer die hem stuurt, zelf beslist hoe hij iets pakt en langs welke weg hij het naar het punt van assemblage brengt. De volgende stap zou zijn dat je de computer opdraagt: „Assembleer zelf de hele schrijfmachine"", maar dat is nu nog volstrekt ondenkbaar.";De Telegraaf;1970-1979
29;de computer zal altijd doen wat hem door de mens wordt opgedragen, maar dat zou wel wat anders kunnen zijn dan die mens bedoelt.;De Telegraaf;1970-1979
30;"Ik geloof helemaal niet, dat we worden bedreigd door de computer. Elke nieuwe technologie kan zowel een weldaad als een bedreiging voor de mens zijn. In verkeerde handen kan alles een gevaar zijn voor alle mensen. Wanneer wordt gesteld dat de computer een „baantjesdoder"" is, die mensen werkloos zal maken, dan zeg ik: „Ja, dat is zo, inderdaad zullen een aantal mensen door de computer hun baan verliezen. Maar daar staat keihard tegenover dat we, net als de computer, allemaal veel productiever zullen worden, en productiever betekent net scheppen van allemaal nieuwe banen. De nieuwe technologie zal een bijna eindeloze reeks nieuwe producten en diensten creëren en daarmee een heel nieuwe arbeidsmarkt. De computer is nu al, en zal dat steeds meer worden: een voorname factor in de verhoging van de welvaart.";De Telegraaf;1970-1979
31;We raken in het stadium waarin de problemen die we moeten oplossen zonder computer niet oplosbaar zijn. Ik ben niet bang voor de computer, ik ben bang voor het gebrek aan computers!;De Telegraaf;1970-1979
32;Micro-computers besturen nu al de carburateurs in Amerikaanse auto's. Iets grotere modellen computers maken in de plaats van artsen feilloze analyses van bloed- en urinemonsters, controleren miljoenen baarmoederuitstrijkjes en waarschuwen wanneer zij iets verdachts vinden. Computers, die gebruik maken van holografische technieken tasten het binnenste van een patiënt drie-dimensionaal af op zoek naar ongerechtigheden. Door de menselijke stem geactiveerde computers staan aan de vooravond van het uittikken van hun eerste zakenbrieven. Er is geen twijfel aan mogelijk, dat al deze veranderingen, de wijze waarop wij mensen leven, werken, ons zelf en anderen ervaren, ingrijpend zullen veranderen. En die veranderingen zullen een grotere invloed hebben op de maatschappij dan iemand nu nog kan, en durft voorzien.;De Telegraaf;1970-1979
33;"een robot dje redelijk kan zien, prachtig kan voelen en heel gemakkelijk te programmeren is. Je kunt dus gemakkelijk met hem „praten"". Daardoor kun je hem de ene dag onderdelen van fruitmachines laten maken, de andere dag de afwas laten doen, of het hout laten zagen voor de haard. Met als voordeel dat hij nooit moe wordt en nooit een fout maakt.";De Telegraaf;1970-1979
34;Het is niet te hopen, pandoeren was nog mooier dan klaverjassen, maar door al die verschillende spelregels bestaat het spel sowat niet meer. Een trieste zaak.;De Telegraaf;1970-1979
35;Die oudjes hè, die verzaken, die bejaarden willen er niet aan. Die willen maar schudden en op kraak spelen. We hebben wel eens toernooien georganiseerd in bejaardentehuizen, met gediplomeerde wedstrijdleiders erbij. Daar beginnen we niet meer aan. Ze bleven gewoon eigenwijs hun eigen spel spelen. Maar ja, straks zal dat wel beter gaan.;De Telegraaf;1970-1979
36;Ik hoop dat nu zoveel mogelijk mensen zich zo'n reglement aanschaffen. Dan wordt er in de toekomst in Nieuw-Zeeland, Australië, Engeland, Zwitserland, Canada, Spanje, België, Frankrijk, Israël, noem alle landen maar op waar Nederlandse emigranten naar toe zijn getrokken en waar Klaverjas Federaties zijn gesticht, volgens dezelfde regels gespeeld. In juni organiseren wij het wereldkampioenschap, in Amsterdam. Daar kan iedereen zien hoe het spel werkelijk gespeeld kan worden.;De Telegraaf;1970-1979
37;Als we geen eenheid in het spel brengen, zal de klaverjassport nooit serieus worden genomen. En dat is tóch het doel waarnaar we streven. Klaverjassen is dan wel populair, maar het wordt algemeen nog steeds als een Kezelligheidsspel gezien. Daar moeten we van af.;De Telegraaf;1970-1979
38;Natuurlijk is het een denksport. Het is laatst nog bewezen door een paar studenten, die het spel in het programma van een computer hadden verwerkt.;De Telegraaf;1970-1979
39;"Uniformiteit moet er komen""";De Telegraaf;1970-1979
40;Als de bridgebond er niet was, dan waren we al veel verder geweest. Maar die bridgebond, daar zitten van die intellectuelen in, die op de een of andere manier de algemene opinie beïnvloeden. Ze roepen steeds dat klaverjassen een geluksspel is. Nu is bewezen dat dat niet zo is. En nu gaan we de spelregels uniformeren.;De Telegraaf;1970-1979
41;dat hij ook meer ingewikkelde opdrachten kan uitvoeren. ;De Telegraaf;1970-1979
42;U kunt nu kennismaken met Shaky;De Telegraaf;1970-1979
43;Autonomie is een deel van het wezen van een computer. Computer-systemen moeten keuze maken tussen verschillende mogelijkheden bij het oplossen van problemen. Mensen moeten dat ook.;De Telegraaf;1970-1979
44;Max, je bent nou een echte dure schoolmeester hè;Algemeen Dagblad;1980-1989
45;Ja, een soort bovenmeester;Algemeen Dagblad;1980-1989
46;Ben je erg streng Max?;Algemeen Dagblad;1980-1989
47;Nee‚ Bij expertsystemen hebben we te maken met een vorm van toegepaste kunstmatige intelligentie. ;Algemeen Dagblad;1980-1989
48;Een expertsysteem bestaat uit twee delen‚ licht Van Lith toe. Er is een verzameling feiten, de kennisbank genoemd, en het computerprogramma, dat de redeneerregels bevat.;Algemeen Dagblad;1980-1989
49;De meeste afnemers moeten nog wel het juiste gebruik van expertsystemen leren ;Algemeen Dagblad;1980-1989
50;Ronduit ‚gevaarlijk noemt Van Lith het blindvaren op de adviezen van een expertsysteem.;Algemeen Dagblad;1980-1989
51;Expertsystemen zijn net zo betrouwbaar als de menselijke experts van wie zij hun kennis hebben gekregen. Als die kennis niet deugt of onvolledig is, deugen ook de adviezen van de computer niet. De mens die een expertsysteem raadpleegt, komt niet los van zijn eigen verantwoordelijkheden.;Algemeen Dagblad;1980-1989
52;Een gezond wantrouwen Is op z’n plaats. Conclusies van een expertsysteem kunnen zeer nuttig zijn als ‘second opinion’. Als een manager een belangrijke beslissing wil nemen, maar nog niet helemaal zeker is van zijn zaak, kan hij een expertsysteem raadplegen. Komt de computer tot dezelfde conclusies, dan zit hij goed. Is de mening van de computer een afwijkende, dan kan de manager het systeem ondervragen en zijn denkproces analyseren. ;Algemeen Dagblad;1980-1989
53;Sluimerende talenten en begaafdheden, die normaal onontdekt blijven en verloren gaan als na het zevende jaar het fotografische geheugen verdwijnt, kunnen met multimediale leermiddelen en expertsystemen worden gewekt. Een expertsysteem zou een ideaal middel zijn voor kennisoverdracht en het wekken van inzichten bij zeer jonge en onbevangen kinderen.;Algemeen Dagblad;1980-1989
54;Het grenst aan Science fiction;Algemeen Dagblad;1980-1989
55;dat de computer nu al wereldkampioen zou zijn als we ooit de spelregel hadden vastgesteld dat er met een hoge snelheid moet worden gezet.;Algemeen Dagblad;1980-1989
56;de grootmeesters van vlees en bloed zijn het niet met elkaar eens over de beantwoording van deze klemmende vraag.;Algemeen Dagblad;1980-1989
57;dat de grootmeesters hun meerdere zullen moeten erkennen in de computer.;Algemeen Dagblad;1980-1989
58;met deze nieuwe stap tot samenwerking beter te kunnen voldoen aan de wensen in Europa en hoopt de internationale concurrentiepositie van de Europese leveranciers te verbeteren.;Algemeen Dagblad;1980-1989
59;De emoties van ACRES zijn gebaseerd op het model van prof. dr. N.H. Frijda. Frijda heeft de menselijke emoties en hun ingewikkelde interacties bestudeerd, onderzocht en in een omvangrijk dynamisch model ondergebracht. Op zijn werk kon ik voortbouwen.;Algemeen Dagblad;1980-1989
60;Als alle mensen normaal zouden zijn volgens het model van Frijda, zou hetzelfde voor hen gelden. Gelukkig is geen mens zo normaal. Ieder mens heeft zijn trauma’s, frustraties en complexen, die hem van het model doen afwijken en die bepalend zijn voor zijn karakter.;Algemeen Dagblad;1980-1989
61;In het begin is hij dus nogal op afstandelijk en gereserveerd. Maar als hij de mens leert zijn kennen en er een goede verstandhouding ontstaat, wordt ACRES zelfs amicaal en kom je allerlei verrassingen tegen. Die onvoorspelbaarheid doordat het programma zijn indrukken opslaat en in basis daarvan zelf promma’s maakt en die aan hoofdprogramma toetst. Men zou het karaktervorming kunnen noemen.;Algemeen Dagblad;1980-1989
62;Welnee. Ik zeg altijd bij wijze van grap tegen de studenten: zolang de computer nog niet kan vrijen, ben ik er niet bang voor.;Algemeen Dagblad;1980-1989
63;Het is dus zaak om panklare pakketten te maken op maat van de computers die nu duur en nutteloos staan te wezen,;Algemeen Dagblad;1980-1989
64;Tja, dan zeg ik dus op mijn beurt: OK, laat maar zitten dan. Wacht dan maar tot de Japanners hier zijn met die mooie, zwarte koffertjes. Daar zit namelijk alles in, een computer plus het lespakket, klaar voor gebruik. Nog even en ze staan voor de deur. Sterker nog: die dingen zijn er al, maar voor gebruik zijn ze nog te duur. Maar het komt. Dus zeg ik: jongens, er bovenop zitten, anders hoeft het niet meer, dan wordt het je zo uit handen genomen. En dat kost dan echt banen;Algemeen Dagblad;1980-1989
65;Dat is pas bezuinigen. Dat scheelt geen tonnen, maar miljoenen.;Algemeen Dagblad;1980-1989
66;Wij zijn hier een ondergeschoven kindje. Vandaar dat het ook zo moeilijk is om er geld voor los te krijgen. Met als gevolg dat we achterlopen op de ontwikkkelingen;Algemeen Dagblad;1980-1989
67;Omdat ze er zelf niks meer van snappen. Maar daar is de computer toch nooit voor bedoeld? Dat schrikt enorm af. Als je de computer gebruiksvriendelijker, eenvoudiger maakt, dan kun je ermee aan de slag zoals het moet. En dan mag er voor mij best af en toe een Mickey Mouse tussen, of een muziekje;Algemeen Dagblad;1980-1989
68;Europa is met Amerika en Japan volop in de race om de computer van de vijfde generatie. In Europees Esprit-verband werken bedrijven en universiteiten nauw samen. Een onderdeel van dit onderzoek betreft het Spin-project waarin vooral de parallelle verwerking de aandacht heeft.;Algemeen Dagblad;1980-1989
69;Als de ‘denkende’ vijfde-generatiecomputer er ooit komt, wordt hij het resultaat van een lange, geleidelijke research- en ontwikkelingsweg en niet van een plotselinge technologische doorbraak. Grote computerbedrijven doen momenteel meer aan public relations rond de vijfde generatie dan aan doelgericht onderzoek. Japan is daarmee begonnen en Amerika en Europa zijn slaafs gevolgd.;Algemeen Dagblad;1980-1989
70;Europa heeft een rijkere research-traditie dan Japan, terwijl Japan weer excelleert op ontwikkelingsgebied. Samenwerking zou in ons nadeel uitwerken;Algemeen Dagblad;1980-1989
71;In zijn totaliteit doet het Europese onderzoek qua ambitie en inspanning niet onder voor dat van Japan of Amerika”;Algemeen Dagblad;1980-1989
72;De verwachting is nu dat een computer misschien over 10 of 20 jaar op het niveau van een wereldkampioen kan zijn.;Algemeen Dagblad;1980-1989
73;Ik geef toe dat de ontwikkeling bij de topcomputers uit het buitenland niet erg snel meer gaat. De beste apparaten liggen nu op het niveau van rond de 2250 tot 2300 ELO- punten. (De sterkte van een zwakke meester, topgrootmeesters zitten boven 2550, Karpof en Kasparof boven 2700, red.). In vluggertjes verliest een meester weleens een partijtje van de computer.;Algemeen Dagblad;1980-1989
74;Dat is het probleem. De intuïtie, zeg maar het psychologische aspect. De computer weet bijvoorbeeld niet tegen welke tegenstander hij welke opening moet spelen. Als hij wel één bepaalde opening wil spelen, moet een programmeur hem eerst bijstellen. Van een computer zelf hoef je zodoende nooit een nieuwtje te verwachten.;Algemeen Dagblad;1980-1989
75;Soms blijven die programma’s enkele jaren exact gelijk.  Het niveau in Nederland is laag. Twee computers halen het peil van een eersteklasser uit de KNSB- competitie. De rest zit daar onder. Zo’n programma moet geschreven worden in hogere computertaal. Sommige deelnemers aan het NK denken dat ze het met Basic, de grondtaal, kunnen doen. Dat is niet waar, dan duurt het veel te langzaam.;Algemeen Dagblad;1980-1989
76;Natuurlijk zullen mensen kunnen denken dat expertsystemen zó gespecialiseerd zijn op een bepaald kennisgebied, dat ze de wijsheid in pacht hebben. „Dat is gevaarlijk. Er zou dan een blind vertrouwen kunnen ontstaan. We hoeven slechts te denken aan oorlogsscenario's. Een expertsysteem zou ten onrechte kunnen menen dat een land wordt aangevallen als het de ene fout op de andere stapelt. „Zo’n systeem zit dan dusdanig ingewikkeld in elkaar, dat niet meer te reconstrueren valt waar het maken van fouten is begonnen, laat staart Wfit de gevolgen van het maken van het allereerste foutjè hunnen zijn.;Algemeen Dagblad;1980-1989
77;Waarom niet? Alleen is dat onwaarschijnlijk op de basis waarop computers nu nog in elkaar zitten. Al vanaf het begin van de ontwikkeling van computers hebben de makers de computer tot een afspiegeling van zichzelf gemaakt. Sedertdien zijn de psychologische inzichten drastisch veranderd.;Algemeen Dagblad;1980-1989
78;"Conputers zijn machines. Ze kunnai in een indrukwekkend tempo ingewikkelde programma's afwerken en in weinig tijd ongelooflijk veel gegevens verwerken, rangschikken, sorteren, berekeningen maken, enzovoort. Toch zijn computers levenloze en zielloze apparaten. Ze doen al die indrukwekkende werkzaamheden omdat het niet anders kan; een kwestie van logica, van oorzaken en gevolgen dus. Eige";Algemeen Dagblad;1980-1989
79;Een beetje. Maar hij heeft er moeite mee. Als vertegenwoordiger van de soft-AI-stroming proberen we dat dan ook dienstbaar te maken. Zo hebben we een kunstmatig intelligent taalverwerkingsprogramma ontwikkeld dat context-gevoelig is.;Algemeen Dagblad;1980-1989
80;De vakterm voor kunstmatige intelligentie is Artificial Intelligence, of kortweg AI. In deze wetenschap zijn twee stromingen actief: de soft-AI en de hard-AI. De aanhangers van de hardAI willen de computer hoe dan ook maken tot een HAL uit de romantiek van de Science fiction. Een machine met een eigen IK-bewustzijn en in feite een afspiegeling van de mens zelf. In de soft-AI, waartoe ook. ik behoor, gaan we realistischer te werk. Daarin is geen plaats voor romantiek. We onderzoeken hoe computers zodanig kunnen worden ontworpen en geprogrammeerd, dat ze het denkvermogen van de mens nabootsen om die computers daardoor beter geschikt te maken voor de omgang met mensen.;Algemeen Dagblad;1980-1989
81;Maar al te graag kennen veel mensen, en onder hen ook veel computerdeskundigen die eigenlijk beter zouden moeten weten, de computer een eigen ziel en een eigen bewustzijn toe.;Algemeen Dagblad;1980-1989
82;Het idee dat machines kunnen denken, of dat we ze kunnen leren denken, fascineert de mens al vanaf het moment dat hij zich bewust werd van zichzelf.;Algemeen Dagblad;1980-1989
83;De huidige generatie computers is nog ontzettend primitief. Zo primitief, dat ze ook op een nogal primitieve manier moeten worden toegesproken. Dat gebeurt in kunstmatige talen, ook wel programmeertalen genoemd, waarin de logica onder woorden moet worden gebracht. „Mensen hebben nogal wat moeite om een computertaal te leren. Dat komt niet doordat die talen zo moeilijk zijn, maar juist doordat ze zo simpel en primitief zijn. De mens is veel verder in zijn ontwikkeling.;Algemeen Dagblad;1980-1989
84;Science fictionschrijvers zijn de profeten van deze tijd, vindt hij. Ze zijn toekomstdenkers met visie en ze zullen later als de belangrijkste filosofen van de twintigste eeuw worden beschouwd.;Algemeen Dagblad;1980-1989
85;Mensen beroemen zich om een unieke geestelijke kwaliteit: creativiteit. Ze menen dat een computer die nooit kan krijgen. Maar creativiteit is slechts een fictie. Een uitvinding van psychologen en nog ongedefinieerd ook. Het creatieve denkproces is te herleiden tot een lange reeks bits en bytes.;Algemeen Dagblad;1980-1989
86;"Computers zijn nu al veruit superieur aan de mens in verstandelijk opzicht. Mits goed geprogrammeerd en niet gehinderd door apparatuurstoringen is de hedendaagse, nog uiterst primitieve computer niet tot vergeten of het maken van fouten in staat. De eerste vorm van machinale geestelijke volmaaktheid!""";Algemeen Dagblad;1980-1989
87;Meesters nuttigen we tegenwoordig aan het ontbijt;Algemeen Dagblad;1980-1989
88;Duivels zijn het;Algemeen Dagblad;1980-1989
89;Beesten;Algemeen Dagblad;1980-1989
90;De vraag is niet meer of de computer wereldkampioen wordt, maar wanneer;Algemeen Dagblad;1980-1989
91;Op zich is dat niets bijzonders. Een auto is toch ook sneller dan een hardloper? Op de universiteit van Moskou is de berekening gemaakt dat een menselijk schaker door zijn resultaten nooit een Elo-rating (waarderingscijfer, Kasparov heeft tegen de 2800, red.) kan halen van 3000. Een computer kan dat wel;Algemeen Dagblad;1980-1989
92;Een computer sterker dan Kasparov? Nee. Een computer kent geen ervaring, geen intu√Øtie, geen stijl. Hij kan alleen de beste zet vinden. Door zijn rekenwerk zal hij op grootmeesterniveau komen, maar niet hoger;Algemeen Dagblad;1980-1989
93;Ik heb hem geen slechte zet zien doen. En ik maak twee blunders. Nee, deze was duidelijk beter dan mijn koffiezetapparaat thuis...;Algemeen Dagblad;1980-1989
94;Schaakcomputers zijn een beetje de verkeerde kant uitgegaan. Het was de bedoeling menselijke denkpatronen te modelleren, kunstmatige intelligentie. Daar is men nu van afgedwaald. In schaken zit een competitie-element. De makers willen nu per se bewijzen wie de beste is. En dat blijkt te kunnen door brute farce, het vermogen de beste zet te vinden door in luttele seconden miljoenen mogelijkheden te onderzoeken.;Algemeen Dagblad;1980-1989
95;Ik heb zes uur gespeeld, ben vermoeid en moet nu nog analyseren. Die computer heeft daar geen last van.;Algemeen Dagblad;1980-1989
96;Nederland loopt in dat opzicht verschrikkelijk achter. Nog geen tien procent is hier geautomatiseerd.;Algemeen Dagblad;1980-1989
97;Alle kennis in een computertje naast je”;Algemeen Dagblad;1980-1989
98;In de praktijk betekent dit dat wij zelf geen apparatuur fabriceren, maar van alle beschikbare hardware het beste wat er is afnemen, aanpassen, bij onze opdrachtgevers installeren en in onderhoud hebben. Wij maken zelf de programmas voor de produktiebesturing. Deze laatste tak groeit het hardst, omdat daarin vanwege de hoge technologie nauwelijks concurrentie is. Als beursfonds hebben wij dan ook geen collegas.‚Äù;Algemeen Dagblad;1980-1989
99;Ons bedrijf is het stadium van risico-kapitaal voorbij;Algemeen Dagblad;1980-1989
100;Wij zijn te groot en voelen ons te goed voor de parallelmarkt.;Algemeen Dagblad;1980-1989
101;Dat zijn geen bedragen meer voor de parallelmarkt. Wij behoren tot de grotere partijen in onze branche.;Algemeen Dagblad;1980-1989
102;In de praktijk betekent dit dat wij zelf geen apparatuur fabriceren, maar van alle beschikbare hardware het beste wat er is afnemen, aanpassen, bij onze opdrachtgevers installeren en in onderhoud hebben. Wij maken zelf de programma’s voor de produktiebesturing. Deze laatste tak groeit het hardst, omdat daarin vanwege de hoge technologie nauwelijks concurrentie is. Als beursfonds hebben wij dan ook geen collega’s”;Algemeen Dagblad;1980-1989
103;worden gevoed door onderlinge rivaliteit;Algemeen Dagblad;1980-1989
104;maken de talloze ambtelijke voorschriften en regels het haast onmogelijk een bruikbare formule te vinden;Algemeen Dagblad;1980-1989
105;Het fascinerende in de mensachtige robot is het Frankenstein-effect dat hij bij mensen oproept. Want, wie schrikt niet, die plotseling een namaakmens beziet? Maar ook in het omgekeerde effect schuilen diabolische genoegens. Van bewegende etalagepoppen schrikt niemand, maar weer wel van het levende meisje, dat er zwaar geschminkt als etalagepop tussenstaat...;Algemeen Dagblad;1980-1989
106;In het jaar 2000 zal de schaakcomputer tenminste zo sterk zijn als de wereldkampioen.;Algemeen Dagblad;1980-1989
107;Schaken doe je zelf;Algemeen Dagblad;1980-1989
108;Computers zullen ook problemen kunnen gaan componeren;Algemeen Dagblad;1980-1989
109;Dat de wiskunde uitermate boeiend, nuttig en enorm op de praktijk is gericht, vertelt prof. dr. P.C. Baayen, directeur van het Mathematisch Centrum in Amsterdam, Watergraafsmeer.;Algemeen Dagblad;1980-1989
110;Het Mathematisch Centrum is kort na de oorlog opgericht met als doel vanuit de wiskunde een bijdrage te leveren aan de wederopbouw van ons land,‚Äù herinnert prof. Baayen zich.;Algemeen Dagblad;1980-1989
111;"Dat doet me denken aan de nieuwe programmeer- of computertalen, die hier ook worden ontwikkeld. We hebben hier de taal ‘B’ ontworpen en verder vervolmaakt tot de taal ‘ABC’, die evenals Basic, gemakkelijk te leren is en de leerling-programmeur de kunst van het netjes programmeren bijbrengt. Bovendien is deze ABC-taal erg machtig. Er is een zeer groot priemgetal mee gevonden; een getal dat alleen door 1 en door zichzelf deelbaar is en dat een gehele krantepagina bestrijkt. ";Algemeen Dagblad;1980-1989
112;De eerste Arra was uiteraard nog een zeer primitieve, elektromechanische computer. Maar hij werd het vertrekpunt voor de bouw in Nederland van elektronische rekenmachines met grotere geheugens en veel snellere elektronenbuizen en transistors. Belangrijk was de Ferta (Fokker Elektronische Rekenmachine Type Arra). Dat de Fokker Friendship zo’n succesvol en veilig vliegtuig is geworden, komt mede doordat dit toestel met behulp van de Ferta is ontwikkeld;Algemeen Dagblad;1980-1989
113;In de beginjaren behoorden het bouwen van en het werken met computers nog tot het zuiver wetenschappelijke en dus puur theoretische onderzoek. Voor de wiskundige was het van zeer groot belang dat computers zeer veel rekenwerk in betrekkelijk weinig tijd kunnen verzetten.;Algemeen Dagblad;1980-1989
114;Belangwekkend voorbeeld is de watersnoodramp van februari 1953. Die rampzalige gebeurtenis werd de aanleiding voor de Afdeling Numerieke Wiskunde van het Mathematisch Centrum om een wiskundig model te ontwikkelen van de Noordzee. Met dit model kan de computer de gedragingen van de Noordzee onder wisselende omstandigheden nabootsen en voorspellen. Het maken van dat model is een enorm karwei geweest, maar het wordt nu nog door het KNMI gebruikt voor het berekenen van waterhoogten en de hoogte van dijken en zeeweringen.;Algemeen Dagblad;1980-1989
115;Afschuwelijk taalgebruik. Gelukkig hebben we hier een beter Nederlands woord kunnen bedenken, hoewel dat nieuwe woord uit een grap is voortgekomen. Operationele research is geen wiskunde, het is ook geen giskunde, dus noemen we het maar besliskunde;Algemeen Dagblad;1980-1989
